"inc","inc_decline","mort_to_inc","prop_inc_15","prev","prop_prev_pre","prev_ltbi","prev_to_notif","ari","prog_early","prog_cum","scenario","array","sample","round","array2","count"
266.73351149338,0.00705793494945939,0.178981782835192,0.109086058159964,261.249971564059,0.525459929848708,0.298059010194798,3.01218604889104,0.18323789845209,0.0512738388987691,0.0785440546188644,"No Intervention",1,1,6,1,1
171.982826300995,0,0.12502996360816,0.115508401379385,146.537224148695,0.574074451926034,0.236693925650703,3.7525871974869,0.0947779527748006,0.0512738388987691,0.0785440546188644,"ACF",1,1,6,1,1
49.5390079783159,0,0.150319814147172,0.126108775284943,44.9303674521741,0.552302175961353,0.809367294037418,3.32320623417076,0.0307821313970083,0.0512738388987691,0.0785440546188644,"ACF & TPT",1,1,6,1,1
226.377433750095,0.00483896417396312,0.1661970410384,0.0978152580380277,226.006141557749,0.567562609287833,0.272046715895469,3.28285880627746,0.159645623165954,0.0492567918903141,0.0761527331507511,"No Intervention",1,17,6,1,10
148.188151348934,0,0.115687236587112,0.102632229410236,129.297778559592,0.614716376311094,0.217060329165861,4.12304749463661,0.0840368049000802,0.0492567918903141,0.0761527331507511,"ACF",1,17,6,1,10
41.7579414286136,0,0.139747543348817,0.111382118406106,38.8481876337502,0.593190478848765,0.800616885003972,3.6399597892439,0.0267748211883027,0.0492567918903141,0.0761527331507511,"ACF & TPT",1,17,6,1,10
232.14306450918,0.00623325886025106,0.1470924995214,0.112598645203251,213.384716139505,0.580451526027046,0.274115343605698,3.03393676299415,0.15760100971145,0.0487911854098489,0.0735701057579631,"No Intervention",1,30,6,1,151
148.575869131635,0,0.103267160490332,0.118547166242937,120.16873272011,0.625301116826599,0.216194006138636,3.80355063192649,0.0817211953473159,0.0487911854098489,0.0735701057579631,"ACF",1,30,6,1,151
42.4345663226057,0,0.123917820654128,0.127843451069257,36.4043847098368,0.605271691578352,0.79964502132915,3.36262086369439,0.0261983493582507,0.0487911854098489,0.0735701057579631,"ACF & TPT",1,30,6,1,151
215.771924732435,0.00260660173689731,0.171563932698754,0.104912942165536,224.919043877808,0.563007381674558,0.254482854765828,3.24590216925762,0.164932102279594,0.0512061541657575,0.0785586769918745,"No Intervention",1,32,6,1,1
139.390270973105,0,0.117934036751009,0.110614078810066,125.887250296677,0.611712735561843,0.201888222369928,4.09236328696555,0.0847636573333698,0.0512061541657575,0.0785586769918745,"ACF",1,32,6,1,1
40.2095091225227,0,0.141784049931031,0.119875362930997,38.7057264180671,0.591026049943507,0.799711600140504,3.6287656552974,0.0275841231784893,0.0512061541657575,0.0785586769918745,"ACF & TPT",1,32,6,1,1
227.866714077426,0.00695578589795065,0.113511317122565,0.0957377661727897,203.878161966118,0.649513206531428,0.278485118263919,3.11822250323804,0.146879072877094,0.0490753949373665,0.0741775043079805,"No Intervention",1,36,6,1,14
148.120026380986,0,0.0796481539320854,0.100289148346748,117.92198521775,0.688789486716603,0.222274294731197,3.9550960582775,0.0779029006892898,0.0490753949373665,0.0741775043079805,"ACF",1,36,6,1,14
40.9980803573198,0,0.0955985715349858,0.108023793169866,34.5132488970433,0.671294206800082,0.797616156483598,3.48483074229237,0.0241583217403208,0.0490753949373665,0.0741775043079805,"ACF & TPT",1,36,6,1,14
238.364497989101,0.00601109092342222,0.155427578573288,0.11651249826751,220.110760624393,0.567277312911173,0.272581323815536,3.33411795315895,0.149944085591965,0.0500439803293177,0.0757750390510527,"No Intervention",1,54,6,1,14
151.363810470256,0,0.108463562298691,0.122222301731299,122.414984987176,0.614813706024631,0.214227574043896,4.1856816259606,0.0768549620767833,0.0500439803293177,0.0757750390510527,"ACF",1,54,6,1,14
43.0743282355215,0,0.130941702960805,0.13130892565324,37.0717567072063,0.592992890460855,0.796703867013587,3.69025972469564,0.0246376844583017,0.0500439803293177,0.0757750390510527,"ACF & TPT",1,54,6,1,14
248.407320310624,0.00664193811260327,0.147839721302054,0.116321481526106,239.185715083689,0.588817698143916,0.287236990045129,2.91438528550033,0.166922180559934,0.0514752191975044,0.0785059800806157,"No Intervention",1,7,7,1,2
162.096454321889,0,0.103596257818322,0.122475725827378,136.951551288995,0.632909662250092,0.230530470880148,3.65040575853124,0.0879475535150208,0.0514752191975044,0.0785059800806157,"ACF",1,7,7,1,2
46.1608551668693,0,0.124526529258524,0.132967193186697,41.3764698743061,0.613009892544887,0.805638909631079,3.22243415345474,0.0281592730033172,0.0514752191975044,0.0785059800806157,"ACF & TPT",1,7,7,1,2
211.57407315359,0.00604879592160412,0.150713410973682,0.110322677412064,204.695921905631,0.578518411255044,0.259559038563864,2.843243311279,0.140017298030921,0.0512538725684698,0.0787082609080545,"No Intervention",1,14,7,1,1
139.151500417094,0,0.105839265622922,0.114935199556852,118.360853312188,0.622935102767496,0.209628581673095,3.56042647729572,0.0743443047301858,0.0512538725684698,0.0787082609080545,"ACF",1,14,7,1,1
38.6008660608886,0,0.12760779241075,0.123760036821077,34.9294386803154,0.602378277275216,0.796354966478674,3.14205687099778,0.0232685702771562,0.0512538725684698,0.0787082609080545,"ACF & TPT",1,14,7,1,1
220.655337415826,0.00561418654321388,0.153508127711765,0.104138057120332,223.169852465168,0.591087360507817,0.271449270678162,2.73956993283491,0.153456346819402,0.050225100650862,0.0767731752626954,"No Intervention",1,15,7,1,13
143.528009329957,0,0.10752011066248,0.109240048643331,127.355471635964,0.633621062262853,0.217506626022247,3.4324529229128,0.0803107264106664,0.050225100650862,0.0767731752626954,"ACF",1,15,7,1,13
