"time","pop","inc","prev","mort","prev_ltbi","ari_all","scenario","array","sample","round","array2","count","inc_decline","mort_decline","inc_decline_prop_acf","mort_decline_prop_acf","inc_decline0","mort_decline0"
120,1913165.48538149,268.158710578559,225.857991341471,48.057771528501,0.272408480527891,0.183318267737448,"No Intervention",1,1,6,1,1,0,0,0.43874254078122,0.536453918217639,0.103695600258145,0.12250226978188
120,1916682.52309332,179.065024876361,94.7671212488885,27.877781685433,0.210181560435838,0.113504436297423,"ACF",1,1,6,1,1,0.332242370609466,0.419911061233875,0.43874254078122,0.536453918217639,0.401485898816073,0.490973272908087
120,1918870.87337447,65.0927267248873,34.7405516472877,10.4403934876886,0.0499660192477739,0.0410568354696293,"ACF & TPT",1,1,6,1,1,0.757260442577278,0.782753274743568,0.43874254078122,0.536453918217639,0.782431466690623,0.809366491690161
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
120,1922413.46169788,227.12546445831,192.749272866942,37.7914407870516,0.248272519686993,0.159512307101992,"No Intervention",1,17,6,1,10,0,0,0.425908913000343,0.528735665467247,0.0796771846140478,0.0972900087395617
