"array","sample","round","t","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","array2"
1,98,8,20,117997.586925257,51536.6637356038,96625.1710363052,157943.793869557,251.160113638955,174.710629806048,4352.00870442459,0,0,0,0,0,0,0,34185.9026155556,102012.21739952,270881.684488943,956015.884679606,2078.60581183246,1545.64786954413,72782.504916876,0,0,0,0,0,0,0,543416.123191061,0,120017.94163137,0,21710.9403051686,0,24984.466405618,0,115259.943652227,0,4757.99797914342,0,12751.454883761,0,435315.894291819,0,1
1,64,10,20,118452.446449386,52486.231569931,101545.226507592,151811.616344709,276.222261552812,161.789543185206,4384.28564578255,0,0,0,0,0,0,0,34485.276433756,107032.126980336,295151.955645763,925223.118685492,2387.56564666182,1484.96366563888,74873.2697589845,0,0,0,0,0,0,0,543327.902941743,0,125481.672948715,0,20357.8955185495,0,30037.4788502185,0,119845.384822272,0,5636.28812644287,0,12876.8864874839,0,434763.47193075,0,1
1,98,8,20,117997.586925257,51536.6637356038,96625.1710363052,157943.793869557,251.160113638955,174.710629806048,4352.00870442459,0,0,0,0,0,0,0,34185.9026155556,102012.21739952,270881.684488943,956015.884679606,2078.60581183246,1545.64786954413,72782.504916876,0,0,0,0,0,0,0,543416.123191061,0,120017.94163137,0,21710.9403051686,0,24984.466405618,0,115259.943652227,0,4757.99797914342,0,12751.454883761,0,435315.894291819,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
1,24,10,20,111601.316815131,54376.2065910487,101965.312227802,157177.120461962,237.541287876199,159.579422159084,3610.15760346562,0,0,0,0,0,0,0,30750.3451112568,107214.089397119,284269.529090229,942312.122311536,2359.51049034825,1687.25216469198,70954.1528852363,0,0,0,0,0,0,0,552291.911260735,0,117812.249545219,0,21480.0910265802,0,28502.6764359327,0,112497.295677521,0,5314.95386769764,0,10706.3370461086,0,444683.474644059,0,1
